=================================================================
  Clone Summary  --  2026-04-18 01:15
=================================================================

╭────────────┬──────────────┬────────────┬───────────┬──────────╮
│ System     │ Person       │ Sentence   │ Time(s)   │ Status   │
│ yourtts    │ yashs        │ sent5      │ 6.7       │ OK       │
│ yourtts    │ shagun       │ sent1      │ 6.6       │ OK       │
│ yourtts    │ shagun       │ sent2      │ 6.6       │ OK       │
│ yourtts    │ shagun       │ sent3      │ 6.7       │ OK       │
│ yourtts    │ shagun       │ sent4      │ 6.6       │ OK       │
│ yourtts    │ shagun       │ sent5      │ 6.6       │ OK       │
│ chatterbox │ abhishek     │ sent1      │ 16.2      │ OK       │
│ chatterbox │ abhishek     │ sent2      │ 16.4      │ OK       │
│ chatterbox │ abhishek     │ sent3      │ 16.6      │ OK       │
│ chatterbox │ abhishek     │ sent4      │ 15.9      │ OK       │
│ chatterbox │ abhishek     │ sent5      │ 16.8      │ OK       │
│ chatterbox │ abhishek     │ sent1      │ -         │ skipped  │
│ chatterbox │ abhishek     │ sent2      │ -         │ skipped  │
│ chatterbox │ abhishek     │ sent3      │ -         │ skipped  │
│ chatterbox │ abhishek     │ sent4      │ -         │ skipped  │
│ chatterbox │ abhishek     │ sent5      │ -         │ skipped  │
│ chatterbox │ bhavya       │ sent1      │ 16.3      │ OK       │
│ chatterbox │ bhavya       │ sent2      │ 17.3      │ OK       │
│ chatterbox │ bhavya       │ sent3      │ 17.7      │ OK       │
│ chatterbox │ bhavya       │ sent4      │ 17.3      │ OK       │
│ chatterbox │ bhavya       │ sent5      │ 17.8      │ OK       │
│ chatterbox │ harshvardhan │ sent1      │ 16.3      │ OK       │
│ chatterbox │ harshvardhan │ sent2      │ 18.1      │ OK       │
│ chatterbox │ harshvardhan │ sent3      │ 16.4      │ OK       │
│ chatterbox │ harshvardhan │ sent4      │ 16.2      │ OK       │
│ chatterbox │ harshvardhan │ sent5      │ 16.6      │ OK       │
│ chatterbox │ saksham      │ sent1      │ 16.8      │ OK       │
│ chatterbox │ saksham      │ sent2      │ 20.5      │ OK       │
│ chatterbox │ saksham      │ sent3      │ 17.5      │ OK       │
│ chatterbox │ saksham      │ sent4      │ 16.8      │ OK       │
│ chatterbox │ saksham      │ sent5      │ 17.5      │ OK       │
│ chatterbox │ sezal        │ sent1      │ 16.3      │ OK       │
│ chatterbox │ sezal        │ sent2      │ 16.3      │ OK       │
│ chatterbox │ sezal        │ sent3      │ 17.3      │ OK       │
│ chatterbox │ sezal        │ sent4      │ 17.3      │ OK       │
│ chatterbox │ sezal        │ sent5      │ 17.4      │ OK       │
│ chatterbox │ shalini      │ sent1      │ 16.8      │ OK       │
│ chatterbox │ shalini      │ sent2      │ 17.0      │ OK       │
│ chatterbox │ shalini      │ sent3      │ 18.2      │ OK       │
│ chatterbox │ shalini      │ sent4      │ 17.5      │ OK       │
│ chatterbox │ shalini      │ sent5      │ 17.6      │ OK       │
│ chatterbox │ tarun        │ sent1      │ 16.2      │ OK       │
│ chatterbox │ tarun        │ sent2      │ 16.2      │ OK       │
│ chatterbox │ tarun        │ sent3      │ 16.6      │ OK       │
│ chatterbox │ tarun        │ sent4      │ 15.9      │ OK       │
│ chatterbox │ tarun        │ sent5      │ 16.7      │ OK       │
│ chatterbox │ yashs        │ sent1      │ 16.3      │ OK       │
│ chatterbox │ yashs        │ sent2      │ 17.0      │ OK       │
│ chatterbox │ yashs        │ sent3      │ 16.5      │ OK       │
│ chatterbox │ yashs        │ sent4      │ 16.3      │ OK       │
│ chatterbox │ yashs        │ sent5      │ 16.8      │ OK       │
│ chatterbox │ shagun       │ sent1      │ 16.0      │ OK       │
│ chatterbox │ shagun       │ sent2      │ 16.5      │ OK       │
│ chatterbox │ shagun       │ sent3      │ 16.6      │ OK       │
│ chatterbox │ shagun       │ sent4      │ 16.1      │ OK       │
│ chatterbox │ shagun       │ sent5      │ 16.7      │ OK       │
╰────────────┴──────────────┴────────────┴───────────┴──────────╯

  OK: 150    Failed: 0
  Output: /home/turing/projects/hackathon_task_0/output_voices
=================================================================
